,station_id,name,lat,lon,lat_lon,address_raw,municipality,postcode,cityDistrict,capacity,is_installed,is_returning,is_renting
20,210405211,Beaux-Arts - Bonaparte,48.856451985395786,2.3348518833518033,"48.856451985395786, 2.334851883351803","{'buildingNumber': '14', 'streetNumber': '14', 'routeNumbers': [], 'street': 'Rue des Beaux-Arts', 'streetName': 'Rue des Beaux-Arts', 'streetNameAndNumber': '14 Rue des Beaux-Arts', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75006', 'municipalitySubdivision': '6ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '14 Rue des Beaux-Arts, Paris, 75006', 'boundingBox': {'northEast': '48.856474,2.336633', 'southWest': '48.856274,2.334598', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75006,06,20,1,1,1
21,501862076,Place Nelson Mandela ,48.862090937689715,2.196576297283173,"48.862090937689715, 2.196576297283173","{'buildingNumber': '79', 'streetNumber': '79', 'routeNumbers': [], 'street': 'Avenue de Fouilleuse', 'streetName': 'Avenue de Fouilleuse', 'streetNameAndNumber': '79 Avenue de Fouilleuse', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Hauts-de-Seine', 'municipality': 'Rueil-Malmaison', 'postalCode': '92500', 'municipalitySubdivision': 'Rueil-Malmaison', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '79 Avenue de Fouilleuse, Rueil-Malmaison, 92500', 'boundingBox': {'northEast': '48.862056,2.198573', 'southWest': '48.861675,2.196534', 'entity': 'position'}, 'localName': 'Rueil-Malmaison'}",Rueil-Malmaison,92500,Rueil-Malmaison,22,1,1,1
22,437597018,Invalides - Duroc,48.8477924732952,2.3161920905113225,"48.8477924732952, 2.3161920905113225","{'buildingNumber': '61', 'streetNumber': '61', 'routeNumbers': [], 'street': 'Boulevard des Invalides', 'streetName': 'Boulevard des Invalides', 'streetNameAndNumber': '61 Boulevard des Invalides', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75007', 'municipalitySubdivision': '7ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '61 Boulevard des Invalides, Paris, 75007', 'boundingBox': {'northEast': '48.847972,2.316406', 'southWest': '48.847464,2.316126', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75007,07,29,1,1,1
23,207633746,Grande Armée - Brunel,48.876115999999996,2.2881240000000003,"48.876116, 2.288124","{'routeNumbers': ['D913'], 'street': 'Avenue de la Grande Armée', 'streetName': 'Avenue de la Grande Armée', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75017', 'municipalitySubdivision': '17ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': 'Avenue de la Grande Armée, Paris, 75017', 'boundingBox': {'northEast': '48.876344,2.288718', 'southWest': '48.875859,2.287231', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75017,17,62,1,1,1
24,210566542,Square Boucicaut,48.85129643366528,2.325061820447445,"48.851296433665276, 2.325061820447445","{'buildingNumber': '1', 'streetNumber': '1', 'routeNumbers': [], 'street': 'Square Boucicaut', 'streetName': 'Square Boucicaut', 'streetNameAndNumber': '1 Square Boucicaut', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75007', 'municipalitySubdivision': '7ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '1 Square Boucicaut, Paris, 75007', 'boundingBox': {'northEast': '48.851554,2.325054', 'southWest': '48.851131,2.324904', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75007,07,60,1,1,1
25,312165511,Faubourg Du Temple - Republique,48.867872484748744,2.3648982158072323,"48.867872484748744, 2.3648982158072323","{'buildingNumber': '2', 'streetNumber': '2', 'routeNumbers': [], 'street': 'Rue du Faubourg du Temple', 'streetName': 'Rue du Faubourg du Temple', 'streetNameAndNumber': '2 Rue du Faubourg du Temple', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75011', 'municipalitySubdivision': '11ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '2 Rue du Faubourg du Temple, Paris, 75011', 'boundingBox': {'northEast': '48.868149,2.365393', 'southWest': '48.867679,2.364249', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75011,11,38,1,1,1
26,210738704,Mazagran - Bonne Nouvelle,48.870278000000006,2.351281,"48.870278, 2.351281","{'buildingNumber': '2', 'streetNumber': '2', 'routeNumbers': [], 'street': 'Rue de Mazagran', 'streetName': 'Rue de Mazagran', 'streetNameAndNumber': '2 Rue de Mazagran', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75010', 'municipalitySubdivision': '10ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '2 Rue de Mazagran, Paris, 75010', 'boundingBox': {'northEast': '48.870283,2.351279', 'southWest': '48.870223,2.351203', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75010,10,25,1,0,0
27,210397939,Thouin - Cardinal Lemoine,48.8450471666151,2.3494647851273465,"48.84504716661511, 2.3494647851273465","{'buildingNumber': '3', 'streetNumber': '3', 'routeNumbers': [], 'street': 'Rue Thouin', 'streetName': 'Rue Thouin', 'streetNameAndNumber': '3 Rue Thouin', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75005', 'municipalitySubdivision': '5ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '3 Rue Thouin, Paris, 75005', 'boundingBox': {'northEast': '48.845121,2.349821', 'southWest': '48.844995,2.349155', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75005,05,17,1,1,1
28,82405965,Froment - Bréguet,48.8570414504784,2.3728947030680696,"48.8570414504784, 2.37289470306807","{'buildingNumber': '9', 'streetNumber': '9', 'routeNumbers': [], 'street': 'Rue Froment', 'streetName': 'Rue Froment', 'streetNameAndNumber': '9 Rue Froment', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75011', 'municipalitySubdivision': '11ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '9 Rue Froment, Paris, 75011', 'boundingBox': {'northEast': '48.857199,2.373010', 'southWest': '48.856986,2.372833', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75011,11,43,1,1,1
29,213682736,Morillons - Dantzig,48.833101499539325,2.299380004405976,"48.83310149953933, 2.299380004405976","{'buildingNumber': '38Bis', 'streetNumber': '38Bis', 'routeNumbers': [], 'street': 'Rue des Morillons', 'streetName': 'Rue des Morillons', 'streetNameAndNumber': '38Bis Rue des Morillons', 'countryCode': 'FR', 'countrySubdivision': 'Île-de-France', 'countrySecondarySubdivision': 'Paris', 'municipality': 'Paris', 'postalCode': '75015', 'municipalitySubdivision': '15ème Arrondissement', 'country': 'France', 'countryCodeISO3': 'FRA', 'freeformAddress': '38Bis Rue des Morillons, Paris, 75015', 'boundingBox': {'northEast': '48.833227,2.300478', 'southWest': '48.832822,2.299442', 'entity': 'position'}, 'localName': 'Paris'}",Paris,75015,15,52,1,1,1
